Institution,OA Type,Discipline,Progress,Duration (in seconds),Finished,Do you agree to participate in this study?,GOLD ONLY Was there a fee (article processing charge) for the publication indicated in our email to you?,"GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Selected Choice","GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Maybe - Text",Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Selected Choice,Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Other - Text,"If you didn't have access to this funding, would you still have published in this journal? - Selected Choice","If you didn't have access to this funding, would you still have published in this journal? - Other - Text","If you had a colleague at an R3 university with zero grant funding, do you think this fee would be reasonable for them to pay?",What fees (if any) do you think are reasonable for journals to ask in exchange for open access publishing? (Please select the highest range you would deem reasonable),How do you perceive your ability to pay a publishing fee compared to other researchers in your field?,Do you have any additional comments regarding authors' ability to pay publishing fees for open access?,Do you have any additional comments about the topics in this survey?
Pitt,Gold,HM,100,205,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,Publication fees are absurd considering the work that academics do for free for journals by reviewing papers. The public's inability to access some papers after the work was paid for by taxpayer dollars is absolutely unethical.  
Pitt,Gold,HM,100,192,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,110,TRUE,I agree to participate,Yes,,,"Grant,Department",,No,,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"I have ample grant and internal support; payment for me is feasible, albeit it is expensive and a drain on resources. I have colleagues with far less resources which precludes their ability to pay for open-access publishing.",
Pitt,Gold,HM,100,293,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,It is a major source of bias in scientific publication visibility and greatly contributes to inequity.,
Pitt,Gold,HM,100,283,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,66,TRUE,I agree to participate,Yes,,,Department,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,318,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I really think these fees have gotten out of hand. Especially for junior researchers who may have little or no extramural funding, the fees present a dilemma. You have to publish to advance, but if you run out of money you won't be able to continue your research, and you won't advance. For the particular journal article that this survey referenced, the publisher offered to waive the fee if we submitted our work to that particular journal. This was the determining factor for me. If I hadn't had to choose between one journal that didn't charge a fee and a handful of others that would charge $3,000+ (!), I probably would have submitted to one of the other journals. But since I really felt like I needed to conserve resources, I opted for the journal that would waive the fee. Not a great system. I also really don't understand where these fees go/what they are funding. They seem exorbitant for, what exactly? Putting my document into a template, loading it on a website, and adding it to some databases?",
Pitt,Gold,HM,100,516,TRUE,I agree to participate,Yes,,,Grant,,Other,Maybe not,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"If department, school or university should support partly the researchers to publish their work as it help to improve the university's research portfolio as well",Thank you for this survey
Pitt,Gold,HM,100,144,TRUE,I agree to participate,Yes,,,Department,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,446,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"We have restricted ourselves to non-fee-based journals for projects that were from low budget projects.  If fees were lower, departmental funding might be available to pay for these publications when grant money is not.",
Pitt,Gold,HM,100,368,TRUE,I agree to participate,Yes,,,Other university funding,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I agree with open access publishing, but I do not understand why the onus is on investigators to pay instead of publishers. Journals receive free peer review, pay next to nothing for editorial board stipends, receive ad revenue, and now have small publishing costs as print journals are dwindling. It would be reasonable if investigators covered only costs related to editorial stipends, copy editing, and online hosting (assuming that publishers will provide these data transparently).",
Pitt,Gold,HM,100,98,TRUE,I agree to participate,Yes,,,Department,,No,,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,It makes the process not fair.,
Pitt,Gold,HM,100,299,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"For authors who have grant funding (either federal or non-federal), it would be easier for them to pay the publishing fee. But for authors who have no grant funding, it would be very difficult for them to pay the publishing fee. Maybe University can somehow figure out a way to subsidize the cost of publication fee. So the fee can be shared between Institution and the authors. ",
Pitt,Gold,HM,100,93,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,97,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,131,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,95,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,53,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,168,TRUE,I agree to participate,Yes,,,Department,,No,,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,234,TRUE,I agree to participate,Yes,,,I'm not sure where the funding came from,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,No,No
Pitt,Gold,HM,100,252,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"We used this as a last resort when journals without publishing fees rejected, but also because even though this journal charges a fee, they review and reply to submissions very quickly.  The journal I sent to also grants reviewers credits toward publication, which for me would help offset future fees for me.","The journal reduced my fees because I replied to comments in a timely manner.  I was not aware of that until after the fact.  This is the only journal I ever paid for a publication in, and generally, I felt like there was value to the payment based on a more rapid turnaround in the review."
Pitt,Gold,HM,100,136,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,"Again, if the fees are more reasonable, researchers without deep pockets could publish more easily because they could potentially find another source of a smaller fee from their department or small grant."
Pitt,Gold,HM,100,217,TRUE,I agree to participate,Yes,,,Department,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"It feels like legalized extortion. I am a captive audience. I need to publish my work both because that is how I get promoted and remain competitive for grant funding. It is also a condition of my award to disseminate the results of the work. But with reductions in the budgets of my grants, I am forced to either pay the costs out of pocket or rely on start up funds from my department to pay these fees. It just feels wrong. ",
Pitt,Gold,HM,100,850,TRUE,I agree to participate,Yes,,,"Grant,Other",it came entirely from research indirect accounts from my R01 grant,"Yes, I would have found another source of funding",,Somewhat unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I actually have no idea where others get funding to pay, but I know increasingly it is hard to find a journal that is not open access, and all have exorbitant fees. The fees feel really arbitrary.  ","There's a huge need to change the business model of academic publishing. It is a real problem and an issue of equity. Journals need to make their money in other ways, or perhaps we need to establish/accept new ways of getting quality peer-reviewed material out to the world. I also think that science suffers under the current model--journals need to meet quotas to generate revenue, accept poorer science, and researchers are rewarded for publishing more articles--no matter the quality. Peer reviewers aren't compensated or compensated in ways that aren't super meaningful, so it's harder and harder to find qualified peer reviewers to accept the review. Science lags and poorer quality research is published. I have been/am an Associate Editor for 3 journals (1 open access, 2 not), and I see this happening all the time. It makes me angry, but I also have to play this game as a researcher. "
Pitt,Gold,HM,100,86,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,2394,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $3k,It is much more difficult for me to pay publishing fees than other researchers in my field,I am out of grant and seed funding in a few months!,
Pitt,Gold,HM,100,267,TRUE,I agree to participate,Yes,,,"Grant,Department",,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,"My non-designated university start up fund account is vital to being able to publish open access articles for my non-funded work. This especially includes my global health related work, for which I feel I have an ethical obligation to publish only open access articles. "
Pitt,Gold,HM,100,83,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,97,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,clearly easier for more senior people as they often have additional discretionary funds ,
Pitt,Gold,HM,100,60,TRUE,I agree to participate,Yes,,,Out of pocket,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,No,no
Pitt,Gold,HM,100,627,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is much easier for me to pay publishing fees than other researchers in my field,"It is acceptable for open access journals to require publishing fees since they cannot obtain revenue from subscriptions or advertisements. However, those that only publish online should have lower fees (<$750) compared to those that publish online AND in print (<$1500).",
Pitt,Gold,HM,100,164,TRUE,I agree to participate,Yes,,,The fee was waived,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,55,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,122,TRUE,I agree to participate,Yes,,,Other,Upmc ,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,Good project 
Pitt,Gold,HM,100,89,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,Grants should be augmented to cover publishing fees. Just adding the fees to the budget doesn't help because it takes away from other funds. 
Pitt,Gold,HM,100,88,TRUE,I agree to participate,Yes,,,Other,Research and Development,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,6524,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I am a member of the professional organization, I peer review for the journal, I write editorials and opinion pieces - why can't they published my paper for free?",
Pitt,Gold,HM,100,138,TRUE,I agree to participate,Yes,,,Grant,,No,,Somewhat unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,I think it degrades our science- it becomes pay to play,
Pitt,Gold,HM,100,126,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"Pitt and NIH should help authors pay these fees- other Universities do.
Also, Universities and NIH should negotiate with publishers on publication fees. These are becoming unreasonable, even for society journals. ",
Pitt,Gold,HM,100,19787,TRUE,I agree to participate,Yes,,,"Library,Other university funding",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I find it's difficult to budget for this in grants b/c the fee differs depending on the journal and this might be something that a PO would cut from a budget, if funded. So really, university and library funding is some of the best (only) way to pay for these fees. ","I'm disappointed that  FY24 is the last year the University library system at Pitt will be supporting APCs. I think it's especially difficult for early career researchers at Pitt who need to get published (in some journals that have APCs), but may not have a lot of RDF funds, etc. available to cover these extra costs. "
Pitt,Gold,HM,100,78,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,N/A,N/A
Pitt,Gold,HM,100,261,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"Journal with open access typically are online only, have a higher acceptance rate and have a good impact factor.  It saves time to publish in an open access journal rather that o have to shop around with other print journals. Print journals publish to few papers and are too difficult to get accepted. They reject papers for space reasons, not quality reasons",No
Pitt,Gold,HM,100,84,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,479,TRUE,I agree to participate,Yes,,,Department,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,"Some universities pay the APC for a wide variety of journals. In that case an APC of 500 may be reasonable but those are highly privileged universities. 

Most journals these days offer only open access publishing with almost always compulsory APC. Which means that these journals publish papers only from some extremely privileged authors (I.e authors who have access to funding).  "
Pitt,Gold,HM,100,288,TRUE,I agree to participate,Yes,,,Grant,,Other,Only if I had access to another adequate source of funding,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"The reference to ""other researchers in my field"" treats that group of researchers as if they are a uniform group, but really it covers a wide range of situations.  ",
Pitt,Gold,HM,100,113,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,176,TRUE,I agree to participate,Yes,,,Other,Co-author from another university paid the fee.,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,119,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,150,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely reasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,1372,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,153,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,I am often asked to write a review for  journal as part of a series and they insist on publication fees even though the review was not funded through a grant. I usually decline to write reviews for papers not supported by external funding
Pitt,Gold,HM,100,70,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,209,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Ability to pay fluctuates greatly depending on grant funding. But so long as the ""prestige"" associated with these journals is a key factor in evaluating faculty members, its hard not to publissh there.",
Pitt,Gold,HM,100,570,TRUE,I agree to participate,Yes,,,,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,"Originally, I asked a fund available at the University to pay the fee, but they had used up all their funds for the year.  I paid the fee myself(personally), but then asked the original funder of the research (the grant had ended) and they eventually paid the fee and I was reimbursed.",
Pitt,Gold,HM,100,241,TRUE,I agree to participate,Yes,,,Other,Commercial Sponsor of the Project,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,79,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,66,TRUE,I agree to participate,Yes,,,I'm not sure where the funding came from,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,69,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,61,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
